index,operational_cost,loss_cost,objective_value,inference_time
1,6563.326810295722,57107.3766888474,63670.70349914312,8.00504084e-05
2,6270.451689651169,52653.61492338179,58924.06661303296,8.00504084e-05
3,5966.059611860407,46189.72247984061,52155.78209170102,8.00504084e-05
4,5702.945902198879,40387.86433368267,46090.81023588155,8.00504084e-05
5,5587.474127441997,36891.43378414866,42478.90791159066,8.00504084e-05
6,5486.786624235095,36810.661711261826,42297.44833549692,8.00504084e-05
7,5267.315083983239,39733.48044099414,45000.79552497738,8.00504084e-05
8,5354.309906497413,41752.1986135137,47106.50852001111,8.00504084e-05
9,5515.373311092302,44324.717830614456,49840.091141706755,8.00504084e-05
10,5935.106527187514,52902.6607085316,58837.76723571911,8.00504084e-05
11,6414.9894032305465,62311.668468059695,68726.65787129024,8.00504084e-05
12,6914.149104114184,70061.6821683606,76975.83127247478,8.00504084e-05
13,7067.5417403627835,71344.5537466509,78412.09548701368,8.00504084e-05
14,6935.393323102454,65917.98323581411,72853.37655891657,8.00504084e-05
15,6767.492369143213,61109.007322886406,67876.49969202963,8.00504084e-05
16,6797.775434690494,59355.2786423955,66153.054077086,8.00504084e-05
17,7284.140053361588,63097.52504789011,70381.6651012517,8.00504084e-05
18,8063.3358604727155,79047.5104732893,87110.846333762,8.00504084e-05
19,8170.434908911186,82951.95215465222,91122.3870635634,8.00504084e-05
20,7958.232917859228,84209.3147061771,92167.54762403634,8.00504084e-05
21,7543.828228786016,81096.93374585669,88640.76197464271,8.00504084e-05
22,7285.462385233158,75774.2934845277,83059.75586976086,8.00504084e-05
23,7258.397478921028,66942.5611483428,74200.95862726383,8.00504084e-05
24,6741.311710262112,55569.550613590196,62310.86232385231,8.00504084e-05
25,6252.2323785487615,48066.79451153094,54319.0268900797,8.00504084e-05
26,5899.256853910133,40548.94806035349,46448.204914263624,8.00504084e-05
27,5718.004335180882,36217.535569101005,41935.53990428189,8.00504084e-05
28,5672.674252951011,34706.893970177305,40379.56822312831,8.00504084e-05
29,5857.780730817294,35469.28440385224,41327.06513466953,8.00504084e-05
30,6216.9900129416965,40652.78408466561,46869.77409760731,8.00504084e-05
31,6718.441011562574,53630.7871570203,60349.22816858287,8.00504084e-05
32,7456.8331909501985,67632.4635552423,75089.2967461925,8.00504084e-05
33,8126.119135593879,81398.4695693052,89524.58870489908,8.00504084e-05
34,8661.472515368154,93532.6160087088,102194.08852407696,8.00504084e-05
35,9013.16079290488,97950.5755609101,106963.73635381498,8.00504084e-05
36,9260.02094209864,99437.89975184221,108697.92069394085,8.00504084e-05
37,9285.032849435378,96376.06367214178,105661.09652157716,8.00504084e-05
38,9120.841659683798,90595.7509986108,99716.5926582946,8.00504084e-05
39,8935.554844797487,89866.3700210979,98801.92486589539,8.00504084e-05
40,8883.148543688914,90747.9402847695,99631.08882845842,8.00504084e-05
41,9267.734516202963,96632.72262402871,105900.45714023168,8.00504084e-05
