index,operational_cost,loss_cost,objective_value,inference_time
1,6946.177593048623,34518.66250140342,41464.84009445205,8.45928416e-05
2,6688.497701717855,33063.86400774705,39752.3617094649,8.45928416e-05
3,6403.481491576626,30939.46466875323,37342.946160329855,8.45928416e-05
4,6155.985465097606,28758.88521906456,34914.87068416217,8.45928416e-05
5,6039.894307204159,27819.77061784077,33859.66492504493,8.45928416e-05
6,5930.918343479899,28205.748667758628,34136.667011238525,8.45928416e-05
7,5727.432673070767,29839.99101602322,35567.42368909399,8.45928416e-05
8,5795.704593398681,31683.79342341186,37479.49801681054,8.45928416e-05
9,5924.91703391189,32852.22616997964,38777.14320389154,8.45928416e-05
10,6331.257253410773,34558.39554658763,40889.6527999984,8.45928416e-05
11,6780.382794038327,37381.6920188322,44162.07481287052,8.45928416e-05
12,7305.435134475109,39756.62161445322,47062.056748928335,8.45928416e-05
13,7492.59110463222,40924.457472147114,48417.048576779336,8.45928416e-05
14,7386.453659056789,41538.859311651846,48925.312970708634,8.45928416e-05
15,7236.797576334273,42418.04092583553,49654.838502169805,8.45928416e-05
16,7273.040615893821,43743.24103580466,51016.28165169848,8.45928416e-05
17,7723.369222545014,45969.1342932315,53692.503515776516,8.45928416e-05
18,8508.502900615757,49455.28784543429,57963.79074605005,8.45928416e-05
19,8614.276906506653,48928.58066168073,57542.857568187384,8.45928416e-05
20,8405.545877646648,47358.96610698798,55764.51198463463,8.45928416e-05
21,8016.371580832594,44816.673447185516,52833.04502801811,8.45928416e-05
22,7785.3767988011405,41526.92710983618,49312.30390863732,8.45928416e-05
23,7709.033881328616,37727.2656955374,45436.29957686601,8.45928416e-05
24,7247.547200115207,33384.71643429312,40632.26363440833,8.45928416e-05
25,6764.842432622986,30008.98355858556,36773.82599120855,8.45928416e-05
26,6418.71498525401,27806.107633801344,34224.822619055354,8.45928416e-05
27,6245.857841406987,26542.980418683124,32788.83826009011,8.45928416e-05
28,6214.215610395498,26198.23281358335,32412.448423978847,8.45928416e-05
29,6374.634632655062,26605.032603811593,32979.66723646665,8.45928416e-05
30,6649.389847433485,29256.833119399016,35906.2229668325,8.45928416e-05
31,7115.412005415862,34631.99767267005,41747.40967808591,8.45928416e-05
32,7809.495770948467,41107.610828548284,48917.10659949675,8.45928416e-05
33,8479.366051439778,46462.96356618549,54942.32961762527,8.45928416e-05
34,9012.057236800752,50018.17947117727,59030.23670797802,8.45928416e-05
35,9368.708088762649,52217.1186665445,61585.82675530715,8.45928416e-05
36,9622.207351069657,52883.15664359219,62505.36399466185,8.45928416e-05
37,9665.12626929016,52319.4904308885,61984.61670017866,8.45928416e-05
38,9496.131380944908,51873.726027433506,61369.85740837841,8.45928416e-05
39,9305.145802834502,52143.7706328111,61448.9164356456,8.45928416e-05
40,9231.366514444515,53574.471629889,62805.83814433351,8.45928416e-05
41,9563.828596234254,55995.3760063968,65559.20460263106,8.45928416e-05
42,10186.217948668569,60142.926458529306,70329.14440719788,8.45928416e-05
43,10168.232037917493,58199.10486749311,68367.3369054106,8.45928416e-05
44,9772.34710720823,55513.821442140295,65286.16854934853,8.45928416e-05
45,9095.917738503354,51716.995883600095,60812.91362210345,8.45928416e-05
46,8680.367547765778,47378.04671021364,56058.41425797941,8.45928416e-05
47,8450.297708833881,43078.88626655151,51529.18397538539,8.45928416e-05
48,7892.073181960583,39167.68874736132,47059.7619293219,8.45928416e-05
49,7287.896029454292,35010.40168574529,42298.29771519958,8.45928416e-05
50,6886.178369227882,32236.122368065924,39122.30073729381,8.45928416e-05
51,6636.512733896734,30622.48908722577,37259.0018211225,8.45928416e-05
52,6541.809428421875,30101.821321131843,36643.63074955372,8.45928416e-05
53,6580.918302207268,29908.68566266974,36489.60396487701,8.45928416e-05
54,6625.807404191018,31350.215743136163,37976.02314732718,8.45928416e-05
55,6715.537870799183,34125.02591030661,40840.5637811058,8.45928416e-05
56,7179.8983460683185,37981.92493440582,45161.823280474135,8.45928416e-05
57,7781.06730126808,42304.08200098824,50085.149302256315,8.45928416e-05
58,8370.736864108685,46573.19843450196,54943.935298610646,8.45928416e-05
59,8806.670670902686,49978.1573588448,58784.828029747485,8.45928416e-05
60,9125.462997777522,51286.8586290162,60412.321626793724,8.45928416e-05
61,9158.376763395436,51161.436512338194,60319.81327573363,8.45928416e-05
62,8995.469833516474,50449.010718601196,59444.48055211767,8.45928416e-05
63,8849.936899806919,50569.97561123221,59419.912511039125,8.45928416e-05
64,8856.956959809499,52361.71233542971,61218.669295239204,8.45928416e-05
65,9216.952630208614,56028.0286446801,65244.98127488871,8.45928416e-05
66,9780.346317540661,58720.52455571761,68500.87087325827,8.45928416e-05
67,9771.631915048982,57060.379489515,66832.01140456398,8.45928416e-05
68,9364.000727246024,54221.66238631921,63585.66311356523,8.45928416e-05
69,8713.927403460173,50790.9803972328,59504.90780069298,8.45928416e-05
70,8290.788373275107,47168.33386260213,55459.122235877236,8.45928416e-05
71,8119.477100511863,43312.57908671406,51432.05618722592,8.45928416e-05
72,7607.265535365487,39404.217423282156,47011.48295864764,8.45928416e-05
73,7062.6560280426165,35968.991461043974,43031.647489086594,8.45928416e-05
74,6684.680755026524,33759.516449294606,40444.19720432113,8.45928416e-05
75,6461.94030430038,32351.8369847358,38813.77728903618,8.45928416e-05
76,6344.855235896194,31865.4163605066,38210.271596402796,8.45928416e-05
77,6363.087203917631,31897.93887513216,38261.02607904979,8.45928416e-05
78,6307.061689808742,32526.736866192125,38833.79855600087,8.45928416e-05
79,6180.3591380598655,34167.9252978423,40348.28443590217,8.45928416e-05
