index,operational_cost,loss_cost,objective_value,inference_time
1,9127.061096884869,34518.66250140342,43645.72359828829,0.00023435051680000002
2,8788.75695841354,33063.86400774705,41852.62096616059,0.00023435051680000002
3,8417.672720789868,30939.46466875323,39357.137389543095,0.00023435051680000002
4,8097.015575726163,28758.88521906456,36855.90079479072,0.00023435051680000002
5,7946.495962645369,27819.77061784077,35766.26658048614,0.00023435051680000002
6,7799.393863133083,28205.748667758628,36005.14253089171,0.00023435051680000002
7,7519.942622043659,29839.99101602322,37359.93363806688,0.00023435051680000002
8,7602.167866919697,31683.79342341186,39285.96129033156,0.00023435051680000002
9,6036.189929807233,21134.057210143183,27170.247139950414,0.00023435051680000002
10,1075.5533790360628,7065.975355931941,8141.528734968004,0.00023435051680000002
11,206.21354777569388,3891.102839856241,4097.316387631935,0.00023435051680000002
12,240.05802942704656,3217.7583596702425,3457.816389097289,0.00023435051680000002
13,254.883183312682,7278.884599663077,7533.7677829757595,0.00023435051680000002
14,1196.492829057146,13205.8123397835,14402.305168840647,0.00023435051680000002
15,5617.8329337091045,17200.73279246853,22818.565726177636,0.00023435051680000002
16,9436.745488313265,40202.82156297553,49639.567051288795,0.00023435051680000002
17,10098.887460212642,45969.1342932315,56068.02175344415,0.00023435051680000002
18,11128.657974531749,49455.28784543429,60583.945819966044,0.00023435051680000002
19,11273.491701984665,48928.58066168073,60202.0723636654,0.00023435051680000002
20,11009.723573547613,47358.96610698798,58368.689680535594,0.00023435051680000002
21,10504.63075598618,44816.673447185516,55321.3042031717,0.00023435051680000002
22,10208.376356248038,41526.92710983618,51735.30346608422,0.00023435051680000002
23,10122.259555856974,37727.2656955374,47849.52525139437,0.00023435051680000002
24,9511.279275184623,33384.71643429312,42895.99570947774,0.00023435051680000002
25,8881.545860220693,30008.98355858556,38890.529418806254,0.00023435051680000002
26,8430.247212826152,27806.107633801344,36236.354846627495,0.00023435051680000002
27,8202.438894432498,26542.980418683124,34745.41931311562,0.00023435051680000002
28,8159.84907207349,26198.23281358335,34358.08188565684,0.00023435051680000002
29,8371.940287206304,26605.032603811593,34976.9728910179,0.00023435051680000002
30,8731.47749640147,29256.833119399016,37988.31061580049,0.00023435051680000002
31,9330.096752956037,34631.99767267005,43962.094425626085,0.00023435051680000002
32,10232.397971900553,41107.610828548284,51340.008800448835,0.00023435051680000002
33,10316.73621752985,41985.26217589857,52301.99839342842,0.00023435051680000002
