index,operational_cost,loss_cost,objective_value,inference_time
1,5709.250511508734,24510.130782441902,30219.381293950635,3.13733916e-05
2,5467.377770087055,23774.567887266,29241.945657353055,3.13733916e-05
3,5209.17368763972,22525.890553116587,27735.064240756306,3.13733916e-05
4,4989.690331885665,21208.99569239819,26198.686024283856,3.13733916e-05
5,4886.404966323629,20399.2833118215,25285.688278145128,3.13733916e-05
6,4772.026558959555,20345.8956823329,25117.922241292454,3.13733916e-05
7,4544.1298469186695,20746.3029034971,25290.43275041577,3.13733916e-05
8,4585.989820563045,21633.130748890802,26219.120569453848,3.13733916e-05
9,4693.19230550664,22401.319417643102,27094.511723149742,3.13733916e-05
10,5058.914152454325,23439.412213254298,28498.32636570862,3.13733916e-05
11,5482.228017913874,25049.93903615971,30532.167054073587,3.13733916e-05
12,5973.86524398588,26452.847299943096,32426.712543928974,3.13733916e-05
13,6146.214516759795,26850.2885416914,32996.50305845119,3.13733916e-05
14,6033.474084513479,27022.315347821102,33055.78943233458,3.13733916e-05
15,5880.016282192574,27197.308133366998,33077.324415559575,3.13733916e-05
16,5893.4490041617955,27123.1586479662,33016.607652128,3.13733916e-05
17,6293.154713002875,28428.189591020404,34721.34430402328,3.13733916e-05
18,7027.065221747969,31836.0999400413,38863.165161789264,3.13733916e-05
19,7144.244386434029,32046.684478579496,39190.92886501353,3.13733916e-05
20,6979.133087702895,31548.3999366861,38527.53302438899,3.13733916e-05
21,6631.377525460754,30477.681367498502,37109.058892959256,3.13733916e-05
22,6435.598672340685,28867.1545445931,35302.75321693379,3.13733916e-05
23,6406.277023585065,26936.3019447561,33342.578968341164,3.13733916e-05
24,5957.796225208245,24676.225629739798,30634.02185494804,3.13733916e-05
25,5516.710282793115,22772.066844647103,28288.77712744022,3.13733916e-05
26,5201.196682716421,21333.566827871386,26534.763510587807,3.13733916e-05
27,5036.343159076529,20455.636920726014,25491.980079802543,3.13733916e-05
28,5003.500385033971,20159.038979122794,25162.539364156764,3.13733916e-05
29,5158.51696365372,20328.099805836588,25486.61676949031,3.13733916e-05
30,5412.862946903954,21318.7369307913,26731.599877695255,3.13733916e-05
