location,technology,time_step,production
GER,Oil,196,42740.5062667153
GER,Oil,197,44433.3211462254
GER,Oil,198,47910.8196113248
GER,Oil,199,56328.6151309423
GER,Oil,200,63948.7171011013
GER,Oil,201,63642.3735780992
GER,Oil,202,58691.01683463789
GER,Oil,203,58222.19397655779
GER,Oil,204,58509.33982216941
GER,Oil,205,56101.4846716962
GER,Oil,206,58744.91527363161
GER,Oil,207,60176.7389427688
GER,Oil,208,64417.7606007488
GER,Oil,209,65694.20423089292
GER,Oil,210,68401.6971473299
GER,Oil,211,67242.0613146377
GER,Oil,212,64264.8478697712
GER,Oil,213,59377.1725415703
GER,Oil,214,55586.6272602925
GER,Oil,215,52826.2435690789
GER,Oil,216,48271.073708329
GER,Oil,217,43880.0714557433
GER,Oil,218,40936.5692876332
GER,Oil,219,39394.4462218036
GER,Oil,220,39092.7329172259
GER,Oil,221,39203.3270246718
GER,Oil,222,39326.6099908087
GER,Oil,223,40563.9459043619
GER,Oil,224,44370.3176827089
GER,Oil,225,43651.928226362
GER,Oil,226,35032.7985896367
GER,Oil,227,29004.439844331002
GER,Oil,228,23341.516799584006
GER,Oil,229,27317.605321286497
GER,Oil,230,34722.5031581527
GER,Oil,231,42470.4931798608
GER,Oil,232,49529.0054268334
GER,Oil,233,52844.6159217207
GER,Oil,234,56993.222493155
GER,Oil,235,57263.5013280894
GER,Oil,236,54930.7437634283
GER,Oil,237,50621.1678509653
GER,Oil,238,48249.2138305065
GER,Oil,239,47135.6989800093
GER,Oil,240,43675.5370928851
GER,Oil,241,40031.9977851976
GER,Oil,242,37631.6730380012
GER,Oil,243,36317.693027839305
GER,Oil,244,36029.9734050786
GER,Oil,245,36411.9023317112
GER,Oil,246,36186.2950268232
GER,Oil,247,35307.02040342651
GER,Oil,248,37045.6820597906
GER,Oil,249,30264.677815982395
GER,Oil,250,15204.810858386596
GER,Oil,251,15931.604138117502
GER,Oil,252,14570.393510877986
GER,Oil,253,12060.431500661503
GER,Oil,254,17177.9814944839
GER,Oil,255,22337.585215942796
GER,Oil,256,44550.1617062114
GER,Oil,257,48758.235982803
GER,Oil,258,53809.0330397088
GER,Oil,259,55244.0293136875
GER,Oil,260,53565.3123258456
GER,Oil,261,50631.0114912456
GER,Oil,262,48805.8266267324
GER,Oil,263,48800.2372378399
GER,Oil,264,45250.9173388173
GER,Oil,265,42170.8111439019
GER,Oil,266,40407.345129365
GER,Oil,267,39625.0846090794
GER,Oil,268,40110.2896488643
GER,Oil,269,41586.0259358477
GER,Oil,270,46157.321656505
GER,Oil,271,56155.1956653034
GER,Oil,272,64376.0640744015
GER,Oil,273,64195.973364353806
GER,Oil,274,58753.7561976063
GER,Oil,275,56133.16198681459
GER,Oil,276,57411.742742960596
GER,Oil,277,58376.3960600172
GER,Oil,278,60001.075223581
GER,Oil,279,62070.445508200806
GER,Oil,280,66433.68920015401
GER,Oil,281,67769.227190288
GER,Oil,282,70247.5210668049
GER,Oil,283,69715.02474592872
GER,Oil,284,67319.3578228094
GER,Oil,285,62719.2574883465
GER,Oil,286,58980.1535296968
GER,Oil,287,55397.4015071702
GER,Oil,288,50164.4478525619
GER,Oil,289,46169.8962005521
GER,Oil,290,43849.9317044331
GER,Oil,291,42690.4101863849
GER,Oil,292,43215.5885129675
GER,Oil,293,44864.8282658551
GER,Oil,294,48582.8491776822
GER,Oil,295,57367.5037482771
GER,Oil,296,63971.9146514409
GER,Oil,297,44977.9997564999
GER,Oil,298,19727.873428901097
GER,Oil,299,6972.881882391499
GER,Oil,300,198.1498402744037
GER,Oil,301,1728.3403655251896
GER,Oil,302,15613.224055400904
GER,Oil,303,37124.657270993004
GER,Oil,304,59039.968239217
GER,Oil,305,65337.6024976779
GER,Oil,306,69214.4807820292
GER,Oil,307,69076.4374078682
GER,Oil,308,66558.1702445536
GER,Oil,309,61616.6523671748
GER,Oil,310,57632.6169765941
GER,Oil,311,54235.1055042615
GER,Oil,312,48907.5389730921
GER,Oil,313,44922.5720176959
GER,Oil,314,42504.6618536505
GER,Oil,315,41854.461850737
GER,Oil,316,42389.2349787262
GER,Oil,317,44246.6412486755
GER,Oil,318,48125.3927674505
GER,Oil,319,57106.8702387138
GER,Oil,320,64475.9414015798
GER,Oil,321,54883.3074190302
GER,Oil,322,39727.714298114195
GER,Oil,323,26054.8651456664
GER,Oil,324,23460.4126531645
GER,Oil,325,26053.357078402703
GER,Oil,326,33779.954316945805
GER,Oil,327,42581.5957171708
GER,Oil,328,64417.263254084406
GER,Oil,329,66898.84443277052
GER,Oil,330,70082.1023214013
GER,Oil,331,69864.3814221045
GER,Oil,332,67612.1186327507
GER,Oil,333,63068.6858562906
GER,Oil,334,59348.3679277647
GER,Oil,335,56211.3857551444
GER,Oil,336,51181.7961644982
GER,Oil,337,47447.3702395113
GER,Oil,338,45388.5773498748
GER,Oil,339,44413.4892366421
GER,Oil,340,44815.2702824437
GER,Oil,341,45918.4135005345
GER,Oil,342,49292.0876507696
GER,Oil,343,58179.8838102872
GER,Oil,344,65446.55179101809
GER,Oil,345,61462.8280203971
GER,Oil,346,51445.2917500779
GER,Oil,347,44091.937902939404
GER,Oil,348,42811.5935550427
GER,Oil,349,44531.21366839831
GER,Oil,350,46955.45766708969
GER,Oil,351,54530.5763651296
GER,Oil,352,63827.0481298947
GER,Oil,353,66749.9216436627
GER,Oil,354,69852.27107950412
GER,Oil,355,69528.6037920455
GER,Oil,356,67283.9280454448
GER,Oil,357,62734.3374687945
GER,Oil,358,58782.6681126726
GER,Oil,359,55523.085699857
GER,Oil,360,50308.5246074763
GER,Oil,361,46315.8259803043
GER,Oil,362,43673.374600416
GER,Oil,363,42607.9379668029
GER,Oil,364,43139.9062955529
GER,Oil,365,44857.6549005841
GER,Oil,366,48977.5913824427
GER,Oil,367,57636.3129214771
GER,Oil,368,65107.669998881895
GER,Oil,369,54263.42959375201
GER,Oil,370,28294.603480424405
GER,Oil,371,16889.737592600803
GER,Oil,372,14258.548485966
GER,Oil,373,16335.4703420788
GER,Oil,374,23513.4658183941
GER,Oil,375,35952.433010014094
GER,Oil,376,58775.353183471794
GER,Oil,377,64132.2593602729
GER,Oil,378,67806.5807260407
GER,Oil,379,67233.70754567762
GER,Oil,380,64549.1203865226
GER,Oil,381,59891.8548163095
GER,Oil,382,56236.8474727918
GER,Oil,383,53615.9768174737
GER,Oil,384,49144.3553701439
GER,Oil,385,45275.6123302576
GER,Oil,386,42833.969053966
GER,Oil,387,41619.2698492352
GER,Oil,388,41204.9445737652
GER,Oil,389,41490.9254863319
GER,Oil,390,41378.0646765659
GER,Oil,391,42139.1278353848
GER,Oil,392,45581.0011611627
GER,Oil,393,27116.7361242526
GER,Oil,394,10999.830082682094
GER,Oil,395,49.3744499010063
GER,Oil,398,3590.211595298899
GER,Oil,399,15709.611017032594
GER,Oil,400,35731.733220301
GER,Oil,401,52047.8539370777
GER,Oil,402,56916.7331303618
GER,Oil,403,57868.6565426459
GER,Oil,404,55586.9367279236
GER,Oil,405,51284.0263981911
GER,Oil,406,48766.6806948991
GER,Oil,407,48000.4418246698
GER,Oil,408,44484.4397345072
GER,Oil,409,41130.3486549815
GER,Oil,410,39238.5483823341
GER,Oil,411,37952.16226791
GER,Oil,412,37362.604921134705
GER,Oil,413,37154.313984636
GER,Oil,414,36588.7486937736
GER,Oil,415,35889.6532238046
GER,Oil,416,37113.3278767399
GER,Oil,417,23567.635749933303
GER,Oil,418,1836.2130573644026
GER,Oil,423,15516.154704085595
GER,Oil,424,39217.1629681205
GER,Oil,425,47075.9373647221
GER,Oil,426,52850.7434075322
GER,Oil,427,54841.1821788406
GER,Oil,428,53501.77076541
GER,Oil,429,50677.6705703596
GER,Oil,430,48995.7452105893
GER,Oil,431,49363.1625680716
GER,Oil,432,46335.9673575187
GER,Oil,433,43358.8682272962
GER,Oil,434,41538.0923479863
GER,Oil,435,40805.938012824
GER,Oil,436,41153.3485173217
GER,Oil,437,42852.8390843552
GER,Oil,438,47128.693615269
GER,Oil,439,56788.2239288501
GER,Oil,440,64770.506707353794
GER,Oil,441,56313.369128578604
GER,Oil,442,33243.5132123129
GER,Oil,443,24857.268333484593
GER,Oil,444,22683.44668890479
GER,Oil,445,23866.5898353944
GER,Oil,446,32991.6496842041
GER,Oil,447,44394.02819475021
GER,Oil,448,62494.09915848699
GER,Oil,449,67150.65681000492
GER,Oil,450,70521.67079002362
GER,Oil,451,70416.148184137
GER,Oil,452,68306.99016571052
GER,Oil,453,63626.6742091928
GER,Oil,454,59953.6576665511
GER,Oil,455,56772.5622703893
GER,Oil,456,52035.0810781213
GER,Oil,457,48678.1953041495
GER,Oil,458,46487.8799940599
GER,Oil,459,45407.5080090213
GER,Oil,460,45812.4873219585
GER,Oil,461,47030.7681569283
GER,Oil,462,50493.8592627285
GER,Oil,463,58832.8785076469
GER,Oil,464,66086.618895606
GER,Oil,465,61133.69829849519
GER,Oil,466,52937.1078940147
GER,Oil,467,44790.6211716437
GER,Oil,468,39120.40515562019
GER,Oil,469,39366.7480334274
GER,Oil,470,43286.039220082195
GER,Oil,471,48748.603439763996
GER,Oil,472,64430.208031530696
GER,Oil,473,67463.7876264486
GER,Oil,474,71000.0
GER,Oil,475,70748.757861439
GER,Oil,476,68508.346471019
GER,Oil,477,64266.0484830461
GER,Oil,478,60453.1052270268
GER,Oil,479,57204.9807452486
GER,Oil,480,52709.2428225691
GER,Oil,481,49438.8245759005
GER,Oil,482,47125.5155577192
GER,Oil,483,46120.7114754513
GER,Oil,484,46525.421739929
GER,Oil,485,47620.9678104737
GER,Oil,486,50987.3037568296
GER,Oil,487,59278.897196427
GER,Oil,488,66541.3109257701
GER,Oil,489,58754.0428337825
GER,Oil,490,36242.386103020304
GER,Oil,491,30330.703980392704
GER,Oil,492,26145.357686842697
GER,Oil,493,28029.027958763298
GER,Oil,494,34641.848990243394
GER,Oil,495,44346.5998009501
GER,Oil,496,61727.757761307
GER,Oil,497,67360.39719865221
GER,Oil,498,70982.6147254361
GER,Oil,499,71000.0
GER,Oil,500,69004.07787702601
GER,Oil,501,64425.2892186738
GER,Oil,502,60722.2977633302
GER,Oil,503,57639.5516077841
GER,Oil,504,53116.6233620561
GER,Oil,505,49672.3182863798
GER,Oil,506,47370.1880459836
GER,Oil,507,46255.0386951435
GER,Oil,508,46230.787695564
GER,Oil,509,47374.4422973714
GER,Oil,510,50640.8349219402
GER,Oil,511,58823.4182304701
