from,to,time_step,flow
GER,NED,240,5000.0
GER,NED,241,5000.0
GER,NED,242,5000.0
GER,NED,243,5000.0
GER,NED,244,5000.0
GER,NED,245,5000.0
GER,NED,246,5000.0
GER,NED,247,5000.0
GER,NED,248,4999.999999999998
GER,NED,249,5000.0
GER,NED,250,-5000.0
GER,NED,251,-5000.0
GER,NED,252,-5000.0
GER,NED,253,-5000.0
GER,NED,254,-5000.0
GER,NED,255,-4840.5367962830005
GER,NED,256,5000.0
GER,NED,257,5000.0
GER,NED,258,5000.0
GER,NED,259,5000.0
GER,NED,260,5000.0
GER,NED,261,5000.0
GER,NED,262,5000.0
GER,NED,263,5000.0
GER,NED,264,5000.0
GER,NED,265,5000.0
GER,NED,266,5000.0
GER,NED,267,5000.0
GER,NED,268,5000.0
GER,NED,269,5000.0
GER,NED,270,5000.0
GER,NED,271,5000.0
GER,NED,272,5000.0
GER,NED,273,5000.0
GER,NED,274,5000.0
GER,NED,275,5000.0
GER,NED,276,5000.0
GER,NED,277,5000.0
GER,NED,278,5000.0
GER,NED,279,5000.0
GER,NED,280,5000.0
GER,NED,281,5000.0
GER,NED,282,5000.0
GER,NED,283,5000.0
GER,NED,284,5000.0
GER,NED,285,5000.0
GER,NED,286,5000.0
GER,NED,287,5000.0
GER,NED,288,5000.0
GER,NED,289,5000.0
GER,NED,290,5000.0
GER,NED,291,5000.0
GER,NED,292,5000.0
GER,NED,293,5000.0
GER,NED,294,5000.0
GER,NED,295,5000.0
GER,NED,296,4999.999999999998
GER,NED,297,5000.0
GER,NED,298,5000.0
GER,NED,299,5000.0
GER,NED,300,5000.0
GER,NED,301,4223.0493251959
GER,NED,302,5000.0
GER,NED,303,5000.0
GER,NED,304,5000.0
GER,NED,305,5000.0
GER,NED,306,5000.0
GER,NED,307,5000.0
GER,NED,308,5000.0
GER,NED,309,5000.0
GER,NED,310,5000.0
GER,NED,311,5000.0
GER,NED,312,5000.0
GER,NED,313,5000.0
GER,NED,314,5000.0
GER,NED,315,5000.0
GER,NED,316,5000.0
GER,NED,317,5000.0
GER,NED,318,5000.0
GER,NED,319,5000.0
GER,NED,320,5000.0
GER,NED,321,5000.0
GER,NED,322,5000.0
GER,NED,323,-2234.4377852200014
GER,NED,324,-5000.0
GER,NED,325,-5000.0
GER,NED,326,-5000.0
GER,NED,327,-5000.0
GER,NED,328,5000.0
GER,NED,329,5000.0
GER,NED,330,5000.0
GER,NED,331,5000.0
GER,NED,332,5000.0
GER,NED,333,5000.0
GER,NED,334,5000.0
GER,NED,335,5000.0
GER,NED,336,5000.0
GER,NED,337,5000.0
GER,NED,338,5000.0
GER,NED,339,5000.0
GER,NED,340,5000.0
GER,NED,341,5000.0
GER,NED,342,5000.0
GER,NED,343,5000.0
GER,NED,344,4999.99999999999
GER,NED,345,5000.0
GER,NED,346,5000.0
GER,NED,347,3292.7122125432998
GER,NED,348,4186.961183344896
GER,NED,349,4998.6591193562
GER,NED,350,5000.0
GER,NED,351,5000.0
GER,NED,352,5000.0
GER,NED,353,5000.0
GER,NED,354,5000.0
GER,NED,355,5000.0
GER,NED,356,5000.0
GER,NED,357,5000.0
GER,NED,358,5000.0
GER,NED,359,5000.0
GER,NED,360,5000.0
GER,NED,361,5000.0
GER,NED,362,5000.0
GER,NED,363,5000.0
GER,NED,364,5000.0
GER,NED,365,5000.0
GER,NED,366,5000.0
GER,NED,367,5000.0
GER,NED,368,4999.999999999997
GER,NED,369,5000.0
GER,NED,370,-5000.0
GER,NED,371,-5000.0
GER,NED,372,-5000.0
GER,NED,373,-5000.0
GER,NED,374,-5000.0
GER,NED,375,-5000.0
GER,NED,376,3310.5163248634
GER,NED,377,5000.0
GER,NED,378,5000.0
GER,NED,379,5000.0
GER,NED,380,5000.0
GER,NED,381,5000.0
GER,NED,382,5000.0
GER,NED,383,5000.0
GER,NED,384,5000.0
GER,NED,385,5000.0
GER,NED,386,5000.0
GER,NED,387,5000.0
GER,NED,388,5000.0
GER,NED,389,5000.0
GER,NED,390,5000.0
GER,NED,391,5000.0
GER,NED,392,5000.0
GER,NED,393,-5000.0
GER,NED,394,-5000.0
GER,NED,395,-5000.0
GER,NED,396,87.06041804509732
GER,NED,397,-5000.0
GER,NED,398,-5000.0
GER,NED,399,-5000.0
GER,NED,400,-5000.0
GER,NED,401,5000.0
GER,NED,402,5000.0
GER,NED,403,5000.0
GER,NED,404,5000.0
GER,NED,405,5000.0
GER,NED,406,5000.0
GER,NED,407,5000.0
GER,NED,408,5000.0
GER,NED,409,5000.0
GER,NED,410,5000.0
GER,NED,411,5000.0
GER,NED,412,5000.0
GER,NED,413,5000.0
GER,NED,414,5000.0
GER,NED,415,5000.0
GER,NED,416,5000.0
GER,NED,417,5000.0
GER,NED,418,-1973.8868063483005
GER,NED,419,-2611.088345672404
GER,NED,420,-5000.0
GER,NED,421,-4828.676996530803
GER,NED,422,-1908.1512240728043
GER,NED,423,3709.955475782099
GER,NED,424,5000.0
GER,NED,425,5000.0
GER,NED,426,5000.0
GER,NED,427,5000.0
GER,NED,428,5000.0
GER,NED,429,5000.0
GER,NED,430,5000.0
GER,NED,431,5000.0
GER,NED,432,5000.0
GER,NED,433,5000.0
GER,NED,434,5000.0
GER,NED,435,5000.0
GER,NED,436,5000.0
GER,NED,437,5000.0
GER,NED,438,5000.0
GER,NED,439,5000.0
GER,NED,440,4999.999999999997
GER,NED,441,5000.0
GER,NED,442,-5000.0
GER,NED,443,-5000.0
GER,NED,444,-5000.0
GER,NED,445,-5000.0
GER,NED,446,-5000.0
GER,NED,447,-1588.834696506401
GER,NED,448,5000.0
GER,NED,449,5000.0
GER,NED,450,5000.0
GER,NED,451,5000.0
GER,NED,452,5000.0
GER,NED,453,5000.0
GER,NED,454,5000.0
GER,NED,455,5000.0
GER,NED,456,5000.0
GER,NED,457,5000.0
GER,NED,458,5000.0
GER,NED,459,5000.0
GER,NED,460,5000.0
GER,NED,461,5000.0
GER,NED,462,5000.0
GER,NED,463,5000.0
GER,NED,464,5000.0
GER,NED,465,5000.0
GER,NED,466,4959.112727142501
GER,NED,467,-412.3212923230967
GER,NED,468,-5000.0
GER,NED,469,-5000.0
GER,NED,470,-5000.0
GER,NED,471,-5000.0
GER,NED,472,3895.802929626998
GER,NED,473,5000.0
GER,NED,474,5000.0
GER,NED,475,5000.0
GER,NED,476,5000.0
GER,NED,477,5000.0
GER,NED,478,5000.0
GER,NED,479,5000.0
GER,NED,480,5000.0
GER,NED,481,5000.0
GER,NED,482,5000.0
GER,NED,483,5000.0
GER,NED,484,5000.0
GER,NED,485,5000.0
GER,NED,486,5000.0
GER,NED,487,5000.0
GER,NED,488,5000.0
GER,NED,489,5000.0
GER,NED,490,-5000.0
GER,NED,491,-5000.0
GER,NED,492,-5000.0
GER,NED,493,-5000.0
GER,NED,494,-5000.0
GER,NED,495,-5000.0
GER,NED,496,3221.0364356118007
GER,NED,497,5000.0
GER,NED,498,5000.0
GER,NED,499,5000.0
GER,NED,500,5000.0
GER,NED,501,5000.0
GER,NED,502,5000.0
GER,NED,503,5000.0
GER,NED,504,5000.0
GER,NED,505,5000.0
GER,NED,506,5000.0
GER,NED,507,5000.0
GER,NED,508,5000.0
GER,NED,509,5000.0
GER,NED,510,5000.0
GER,NED,511,5000.0
GER,NED,512,5000.0
GER,NED,513,5000.0
GER,NED,514,1971.8503588677995
GER,NED,515,-5000.0
GER,NED,516,-5000.0
GER,NED,517,-5000.0
GER,NED,518,-5000.0
GER,NED,519,-5000.0
GER,NED,520,5000.0
GER,NED,521,5000.0
GER,NED,522,4885.862854110805
GER,NED,523,5000.0
GER,NED,524,5000.0
GER,NED,525,5000.0
GER,NED,526,5000.0
GER,NED,527,5000.0
GER,NED,528,5000.0
GER,NED,529,5000.0
GER,NED,530,5000.0
GER,NED,531,5000.0
GER,NED,532,5000.0
GER,NED,533,5000.0
GER,NED,534,5000.0
GER,NED,535,5000.0
GER,NED,536,4999.999999999997
GER,NED,537,5000.0
GER,NED,538,-5000.0
GER,NED,539,-5000.0
GER,NED,540,-5000.0
GER,NED,541,-4831.667683418502
GER,NED,542,4370.359636192197
GER,NED,543,5000.0
GER,NED,544,5000.0
GER,NED,545,5000.0
GER,NED,546,5000.0
GER,NED,547,5000.0
GER,NED,548,5000.0
GER,NED,549,5000.0
GER,NED,550,5000.0
GER,NED,551,5000.0
GER,NED,552,5000.0
GER,NED,553,5000.0
