location,time_step,loss_of_load
NED,96,8470.5961749719
NED,97,7814.126064223499
NED,98,7379.1157498720895
GER,99,-3.637978807091713e-12
NED,99,7166.553891723101
NED,100,7121.07554067729
NED,101,7238.7260575132
NED,102,7669.7817326432
NED,103,9072.6899964264
NED,104,11238.843629935203
NED,105,10028.2070497757
NED,110,2251.339016436399
NED,111,9118.6276751234
NED,112,13063.4132417417
NED,113,13689.7312873831
NED,114,14237.4488195437
NED,115,13520.670460669298
NED,116,12953.1797324018
NED,117,12207.7302391724
NED,118,11315.959094752
NED,119,10280.8322785568
NED,120,9244.7168025563
NED,121,8380.6281326856
NED,122,7857.6270956585995
NED,123,7599.5868864638
NED,124,7506.6528647615
NED,125,7587.7229687997005
NED,126,8012.8466850976
NED,127,9288.2178339914
GER,128,2.7284841053187847e-12
NED,128,11588.829201027002
NED,129,9507.671485394201
NED,136,12134.561177753001
NED,137,13480.135408650101
NED,138,14275.0178921468
NED,139,13498.9199449517
NED,140,13014.476640333101
NED,141,12187.9570430655
NED,142,11273.4467231223
NED,143,10230.4106284843
NED,144,9240.7621633349
NED,145,8434.0157621742
NED,146,7897.1734878724
NED,147,7640.1219384829
NED,148,7557.074514833999
NED,149,7610.462144322601
NED,150,8048.438438089999
NED,151,9357.4240203655
GER,152,1.8189894035458565e-12
NED,152,11537.4188911491
NED,153,4990.447773569699
NED,160,9672.285401939898
NED,161,13277.460148554594
GER,162,-7.275957614183426e-12
NED,162,14161.322014532201
GER,163,-2.1827872842550278e-11
NED,163,13379.292108505098
GER,164,-2.1827872842550278e-11
NED,164,12915.610659798702
NED,165,12156.3199292945
NED,166,11304.0951770879
NED,167,10218.5467108202
NED,168,9364.3446390029
NED,169,8546.7229799834
NED,170,7969.3456536625
NED,171,7659.8951345898
NED,172,7547.1879167806
NED,173,7560.040494250001
NED,174,7998.016788017399
NED,175,9253.6147408044
NED,176,11436.575591003999
NED,177,12394.582824470399
NED,178,8828.4539632989
NED,179,5195.592624222598
NED,180,3902.413245096801
NED,181,5400.2452039288
NED,182,7715.210668745701
NED,183,9767.192625340998
NED,184,13316.510151909699
NED,185,13734.22097862358
NED,186,14192.959128303199
GER,187,-2.1827872842550278e-11
NED,187,13620.525101009
NED,188,13120.263239504879
NED,189,12364.927148222101
NED,190,11333.7549712482
NED,191,10276.8776393355
NED,192,9382.1405154991
NED,193,8543.7570005674
NED,194,7997.0281282121
NED,195,7678.679670891301
NED,196,7533.346679505799
NED,197,7579.813690356899
NED,198,7997.0281282121
NED,199,9304.0363908769
NED,200,11417.791054702499
NED,201,12665.9719999934
NED,202,9690.0771605242
NED,203,6076.000357749399
NED,204,1854.8823165814993
NED,206,373.3653034935978
