index,operational_cost,loss_cost,objective_value,inference_time
1,6378.976810295722,24510.130782441902,30889.107592737622,6.0387325000000005e-05
2,6086.101689651169,23774.567887266,29860.669576917167,6.0387325000000005e-05
3,5781.709611860408,22525.8905531166,28307.600164977004,6.0387325000000005e-05
4,5518.595902198878,21208.995692398203,26727.59159459708,6.0387325000000005e-05
5,5403.124127441996,20399.2833118215,25802.407439263494,6.0387325000000005e-05
6,5302.436624235094,20345.8956823329,25648.332306567994,6.0387325000000005e-05
7,5082.965083983238,20746.3029034971,25829.26798748034,6.0387325000000005e-05
8,5169.959906497414,21633.130748890802,26803.090655388216,6.0387325000000005e-05
9,5331.023311092302,22401.319417643102,27732.342728735406,6.0387325000000005e-05
10,5750.756527187515,23439.412213254298,29190.16874044181,6.0387325000000005e-05
11,6230.639403230546,25049.939036159696,31280.578439390243,6.0387325000000005e-05
12,6729.799104114184,26452.847299943096,33182.64640405728,6.0387325000000005e-05
13,6883.191740362783,26850.2885416914,33733.48028205418,6.0387325000000005e-05
14,6751.043323102454,27022.315347821102,33773.35867092355,6.0387325000000005e-05
15,6583.142369143213,27197.308133366998,33780.45050251021,6.0387325000000005e-05
16,6613.425434690494,27123.1586479662,33736.58408265669,6.0387325000000005e-05
17,7099.7900533615875,28428.189591020404,35527.979644381994,6.0387325000000005e-05
18,7878.985860472716,31836.0999400413,39715.08580051402,6.0387325000000005e-05
19,7986.084908911186,32046.684478579496,40032.76938749068,6.0387325000000005e-05
20,7773.882917859228,31548.3999366861,39322.28285454532,6.0387325000000005e-05
21,7359.478228786016,30477.681367498502,37837.15959628452,6.0387325000000005e-05
22,7101.1123852331575,28867.1545445931,35968.266929826255,6.0387325000000005e-05
23,7074.047478921028,26936.3019447561,34010.34942367713,6.0387325000000005e-05
24,6556.961710262112,24676.225629739798,31233.18734000191,6.0387325000000005e-05
25,6067.882378548762,22772.066844647103,28839.949223195865,6.0387325000000005e-05
26,5714.906853910133,21333.5668278714,27048.473681781532,6.0387325000000005e-05
27,5533.654335180881,20455.636920726,25989.29125590688,6.0387325000000005e-05
28,5488.324252951011,20159.0389791228,25647.36323207381,6.0387325000000005e-05
29,5673.430730817294,20328.099805836602,26001.530536653896,6.0387325000000005e-05
30,6032.640012941696,21318.7369307913,27351.376943732997,6.0387325000000005e-05
31,6534.091011562575,23756.772010769702,30290.863022332276,6.0387325000000005e-05
32,7272.483190950199,27084.600915557698,34357.0841065079,6.0387325000000005e-05
33,7941.769135593879,30465.8174498343,38407.58658542818,6.0387325000000005e-05
34,8476.859819040426,33061.0494388626,41537.909257903026,6.0387325000000005e-05
35,8824.636409675104,34357.1824436685,43181.818853343604,6.0387325000000005e-05
36,9075.057196946369,34496.5834762221,43571.64067316847,6.0387325000000005e-05
37,9100.682849435378,33941.945325424196,43042.62817485957,6.0387325000000005e-05
38,8936.4916596838,33556.3680013398,42492.8596610236,6.0387325000000005e-05
39,8751.204844797487,33405.1030511223,42156.30789591979,6.0387325000000005e-05
40,8698.798543688914,33319.0896480573,42017.88819174621,6.0387325000000005e-05
41,9056.893457698676,34253.3731641075,43310.26662180618,6.0387325000000005e-05
42,9628.032102851052,38118.044343197405,47746.07644604846,6.0387325000000005e-05
43,9570.280204543282,37074.019588754105,46644.29979329739,6.0387325000000005e-05
44,9162.514466054166,35697.805139715,44860.31960576917,6.0387325000000005e-05
45,8469.709122315206,33778.8164575422,42248.52557985741,6.0387325000000005e-05
46,8016.072373496998,31272.5638509951,39288.6362244921,6.0387325000000005e-05
47,7835.060611118172,28926.4741329138,36761.534744031975,6.0387325000000005e-05
48,7216.902231846028,26802.832871034898,34019.73510288093,6.0387325000000005e-05
49,6595.322640292862,24427.083358793097,31022.40599908596,6.0387325000000005e-05
50,6166.799813745594,22757.236947567002,28924.036761312596,6.0387325000000005e-05
51,5899.186420750283,21564.913222322102,27464.099643072386,6.0387325000000005e-05
52,5799.1853270499705,20950.9554832035,26750.14081025347,6.0387325000000005e-05
53,5869.011115565441,20781.894656489698,26650.90577205514,6.0387325000000005e-05
54,5961.320811780999,21395.8523956083,27357.1732073893,6.0387325000000005e-05
55,6082.7403137005585,22617.835915013402,28700.57622871396,6.0387325000000005e-05
56,6603.790390635437,24750.3751151406,31354.165505776036,6.0387325000000005e-05
57,7225.398251255849,27787.538037157497,35012.936288413344,6.0387325000000005e-05
58,7829.074087951766,30747.5854943574,38576.65958230917,6.0387325000000005e-05
59,8270.889895804516,32711.0638677708,40981.953763575315,6.0387325000000005e-05
60,8580.100042990616,33559.333980756,42139.43402374661,6.0387325000000005e-05
61,8580.593102399233,33698.7350133093,42279.32811570853,6.0387325000000005e-05
62,8414.09296976232,33233.0762449923,41647.16921475462,6.0387325000000005e-05
63,8285.036942588476,32986.899953461805,41271.93689605028,6.0387325000000005e-05
64,8318.65066063985,32906.818509228906,41225.46916986875,6.0387325000000005e-05
65,8694.418981618728,34078.3803785616,42772.799360180325,6.0387325000000005e-05
66,9182.222725605847,36196.0896816084,45378.312407214245,6.0387325000000005e-05
67,9138.553666498132,35303.3298773829,44441.883543881035,6.0387325000000005e-05
68,8728.088484791426,33924.1494489279,42652.23793371933,6.0387325000000005e-05
69,8066.529160839607,32073.378293323804,40139.90745416341,6.0387325000000005e-05
70,7627.582309771508,29973.464866773,37601.04717654451,6.0387325000000005e-05
71,7504.044553206332,27968.462781535498,35472.50733474183,6.0387325000000005e-05
72,6969.00215539354,25856.6854373205,32825.687592714035,6.0387325000000005e-05
73,6381.115154622287,23905.070981571298,30286.186136193584,6.0387325000000005e-05
