index,operational_cost,loss_cost,objective_value,inference_time
1,7156.526768866885,17310.130782441902,24466.65755130879,9.77448668e-05
2,6824.304455948549,16574.567887266,23398.87234321455,9.77448668e-05
3,6487.11799321238,15325.890553116598,21813.00854632898,9.77448668e-05
4,6201.587336819771,14008.995692398203,20210.583029217974,9.77448668e-05
5,6044.601792103542,13199.2833118215,19243.885103925044,9.77448668e-05
6,5907.684988379131,13145.895682332899,19053.58067071203,9.77448668e-05
7,5687.627718550535,13546.3029034971,19233.930622047636,9.77448668e-05
8,5679.315262036247,14433.130748890802,20112.44601092705,9.77448668e-05
9,5790.437468085987,15201.319417643102,20991.75688572909,9.77448668e-05
10,6173.994046066635,16239.412213254298,22413.40625932093,9.77448668e-05
11,6642.776676357475,17849.939036159696,24492.715712517173,9.77448668e-05
12,7184.194360477528,19252.847299943096,26437.041660420626,9.77448668e-05
13,7393.193025593904,19650.2885416914,27043.481567285304,9.77448668e-05
14,7270.653290582225,19822.315347821102,27092.968638403327,9.77448668e-05
15,7094.069133735062,19997.308133366998,27091.37726710206,9.77448668e-05
16,7119.065032967412,19923.1586479662,27042.22368093361,9.77448668e-05
17,7552.284357266037,21228.189591020404,28780.47394828644,9.77448668e-05
18,8417.505523067008,24636.0999400413,33053.60546310831,9.77448668e-05
19,8581.721341026816,24846.684478579496,33428.40581960631,9.77448668e-05
20,8407.202711640932,24348.3999366861,32755.602648327033,9.77448668e-05
21,8014.762328788731,23277.681367498502,31292.443696287235,9.77448668e-05
22,7790.761483704413,21667.1545445931,29457.916028297514,9.77448668e-05
23,7851.3974343348345,19736.3019447561,27587.699379090933,9.77448668e-05
24,7431.138627922263,17476.225629739798,24907.364257662062,9.77448668e-05
25,6884.024229585895,15572.0668446471,22456.091074232994,9.77448668e-05
26,6473.065420574553,14133.566827871398,20606.632248445952,9.77448668e-05
27,6220.410144157004,13255.636920726001,19476.047064883005,9.77448668e-05
28,6137.786912066394,12959.038979122803,19096.825891189197,9.77448668e-05
29,6283.004187920779,13128.0998058366,19411.10399375738,9.77448668e-05
30,6583.79886627884,14118.7369307913,20702.53579707014,9.77448668e-05
31,7072.135719547373,16556.772010769702,23628.907730317074,9.77448668e-05
32,7741.276914337856,19884.600915557698,27625.877829895555,9.77448668e-05
33,8445.462188437654,23265.8174498343,31711.279638271953,9.77448668e-05
34,9031.694501242215,25861.049438862603,34892.74394010482,9.77448668e-05
35,9434.763262085835,27157.1824436685,36591.94570575433,9.77448668e-05
36,9740.55078419968,27296.5834762221,37037.13426042178,9.77448668e-05
37,9799.093179623575,26741.945325424196,36541.03850504777,9.77448668e-05
38,9594.906994770303,26356.3680013398,35951.27499611011,9.77448668e-05
39,9338.413848327316,26205.1030511223,35543.51689944962,9.77448668e-05
40,9247.509893027918,26119.0896480573,35366.59954108522,9.77448668e-05
41,9567.732585160167,27053.3731641075,36621.10574926766,9.77448668e-05
42,10264.918823665781,30918.044343197405,41182.963166863185,9.77448668e-05
43,10302.974666459977,29874.019588754105,40176.994255214086,9.77448668e-05
44,9910.041851338214,28497.805139714997,38407.846991053215,9.77448668e-05
45,9207.214915784696,26578.816457542198,35786.03137332689,9.77448668e-05
46,8741.113669370096,24072.5638509951,32813.67752036519,9.77448668e-05
47,8641.123169645181,21726.474132913798,30367.597302558977,9.77448668e-05
48,8117.247510926115,19602.832871034898,27720.080381961012,9.77448668e-05
49,7444.112003804898,17227.083358793097,24671.195362597995,9.77448668e-05
50,6957.355895990118,15557.236947567002,22514.59284355712,9.77448668e-05
51,6637.884339997743,14364.913222322102,21002.797562319844,9.77448668e-05
52,6490.9153520424115,13750.955483203501,20241.870835245914,9.77448668e-05
53,6538.652744249696,13581.894656489698,20120.547400739393,9.77448668e-05
54,6581.152045982415,14195.852395608299,20777.004441590714,9.77448668e-05
55,6687.561843836918,15417.835915013402,22105.39775885032,9.77448668e-05
56,7135.466666117342,17550.3751151406,24685.841781257943,9.77448668e-05
57,7803.412475085922,20587.538037157497,28390.95051224342,9.77448668e-05
58,8467.035473809672,23547.5854943574,32014.620968167073,9.77448668e-05
59,8989.073851915871,25511.0638677708,34500.137719686674,9.77448668e-05
60,9383.937499399028,26359.333980756,35743.27148015503,9.77448668e-05
61,9442.130389240212,26498.7350133093,35940.86540254951,9.77448668e-05
62,9267.72698083456,26033.0762449923,35300.80322582686,9.77448668e-05
63,9079.649682862342,25786.8999534618,34866.54963632414,9.77448668e-05
64,9072.835794397022,25706.818509228902,34779.654303625925,9.77448668e-05
65,9402.7973610659,26878.380378561596,36281.1777396275,9.77448668e-05
66,9961.538674433614,28996.089681608402,38957.62835604201,9.77448668e-05
67,9985.96028371548,28103.3298773829,38089.29016109838,9.77448668e-05
68,9560.542602147789,26724.1494489279,36284.69205107569,9.77448668e-05
69,8887.590224070582,24873.378293323804,33760.96851739439,9.77448668e-05
70,8427.716641338402,22773.464866773,31201.181508111404,9.77448668e-05
71,8349.091388178658,20768.462781535498,29117.554169714156,9.77448668e-05
72,7886.591538675166,18656.6854373205,26543.276975995665,9.77448668e-05
73,7272.0129602347315,16705.070981571298,23977.083941806028,9.77448668e-05
74,6802.63636042477,15100.476117498,21903.11247792277,9.77448668e-05
75,6513.046197666497,14023.825589478301,20536.8717871448,9.77448668e-05
76,6346.7286124199745,13537.404965249101,19884.133577669076,9.77448668e-05
77,6339.224840448091,13371.310117951198,19710.534958399287,9.77448668e-05
78,6261.771175112773,13587.826615321503,19849.597790434276,9.77448668e-05
79,6154.466110850944,14130.600848455499,20285.06695930644,9.77448668e-05
