location,time_step,loss_of_load
NED,168,9364.3446390029
ITA,169,13030.1339025711
NED,169,8546.7229799834
ITA,170,10907.332419888
NED,170,7969.3456536625
ITA,171,9827.1682636254
NED,171,7659.8951345898
ITA,172,9473.1989767375
NED,172,7547.1879167806
ITA,173,9775.4420927621
NED,173,7560.040494250001
ITA,174,11572.6729706
NED,174,7998.016788017399
ITA,175,17070.116348148753
NED,175,9253.6147408044
ITA,176,7946.271190513216
NED,176,11436.575591003999
NED,177,12394.632486716466
NED,178,8828.900923513502
NED,179,5196.412051282698
NED,180,3903.3816588951013
NED,181,5401.0646309889
NED,182,7715.8066156985005
NED,183,9767.565092186498
ITA,184,5877.0118131207455
NED,184,13316.534983032732
ITA,185,30670.7866442378
NED,185,13734.220978623602
ITA,186,33592.8081786908
NED,186,14192.959128303199
ITA,187,32892.98351407
NED,187,13620.525101009
ITA,188,31455.8073549863
NED,188,13120.2632395049
ITA,189,28395.8493648979
NED,189,12364.927148222101
ITA,190,24901.7972350157
NED,190,11333.7549712482
ITA,191,20306.2819373389
NED,191,10276.8776393355
ITA,192,16526.2145097421
NED,192,9382.1405154991
ITA,193,13556.5237590033
NED,193,8543.7570005674
ITA,194,11308.9709230617
NED,194,7997.0281282121
ITA,195,10303.8604264831
NED,195,7678.679670891301
ITA,196,10030.015992501
NED,196,7533.346679505799
ITA,197,10349.5011654801
NED,197,7579.813690356899
ITA,198,11948.9555076642
NED,198,7997.0281282121
ITA,199,17489.7412219012
NED,199,9304.0363908769
ITA,200,10973.372696090055
NED,200,11417.791054702499
NED,201,12665.996831116434
NED,202,9690.4496273697
NED,203,6076.7452914404
NED,204,1856.0493793640671
NED,206,374.6565218913329
NED,207,8612.384426143202
ITA,208,4088.7046194980976
NED,208,12572.591251678467
ITA,209,29690.0178751242
NED,209,13333.8137574592
ITA,210,32565.384431935898
NED,210,13800.4611855816
ITA,211,32224.600247424904
NED,211,13173.6508689935
ITA,212,30744.8260652773
NED,212,12521.135397466402
ITA,213,27796.4343260705
NED,213,11691.6498207828
ITA,214,23985.9397391423
NED,214,10785.0487792823
ITA,215,19854.9457405907
NED,215,9904.1528927208
ITA,216,16302.0677693346
NED,216,9202.2044309265
ITA,217,12745.1328435009
NED,217,8481.4714328307
ITA,218,10758.2393391644
NED,218,7791.386888700499
ITA,219,9733.8583083426
NED,219,7394.934306757599
ITA,220,9050.2614620319
NED,220,7166.553891723101
ITA,221,9065.4750416975
NED,221,7088.449767100899
ITA,222,9877.8801958443
NED,222,7157.6559534749995
ITA,223,12098.318513407752
NED,223,7614.416783544
ITA,224,1481.1786847920594
NED,224,8494.3240103002
NED,225,9648.0900031367
NED,226,6572.733703384334
NED,231,612.6958133085991
NED,232,8640.356281091901
ITA,233,17283.10646346815
NED,233,10985.7467197671
ITA,234,21815.4690401734
NED,234,12005.054979076798
ITA,235,23498.0909511965
NED,235,11735.1508522179
ITA,236,23340.8839613179
NED,236,11232.9116711031
ITA,237,21016.2489884035
NED,237,10584.3508387975
ITA,238,18268.6765007835
NED,238,9868.5611397284
ITA,239,15488.648376543399
NED,239,9249.660101583
ITA,240,12826.2719350512
NED,240,8616.9178261628
ITA,241,10134.4825728719
NED,241,8004.937406654901
ITA,242,8238.87054652946
NED,242,7445.355956830101
ITA,243,7286.500459458521
NED,243,7067.687911188699
ITA,244,6575.51916974954
NED,244,6856.114712845099
ITA,245,6278.34724694678
NED,245,6807.6703823831995
ITA,246,6846.32088779846
NED,246,6865.0126510932005
ITA,247,7792.875468023172
NED,247,7092.404406322299
NED,248,7609.473484517201
NED,249,2102.713343024734
NED,256,7519.733163901533
ITA,257,13062.859464211251
NED,257,10369.8116610378
ITA,258,17555.6667337858
NED,258,11531.486932316999
ITA,259,19092.2382800185
NED,259,11465.246725359
ITA,260,19694.696034779
NED,260,11192.376619084
ITA,261,18461.3818432154
NED,261,10623.8972310112
ITA,262,16789.9165572804
NED,262,9891.3003152513
ITA,263,14240.1206053141
NED,263,9230.8755652815
ITA,264,11439.8077081864
