location,time_step,loss_of_load
NED,179,4952.119783998522
SWE,179,1133.7722379817205
NED,180,3734.672615741074
NED,181,5156.772363704724
SWE,181,194.85311991990056
NED,182,7358.139512219099
SWE,182,4977.47350359536
NED,183,9296.523152511872
SWE,183,9258.5342126365
NED,184,12669.132187054423
SWE,184,9795.2023370257
NED,185,13074.220978623602
SWE,185,10050.9974243513
NED,186,13532.959128303199
SWE,186,10162.3435211872
NED,187,12960.525101009
SWE,187,9743.040201571
NED,188,12460.2632395049
SWE,188,9246.4967967623
NED,189,11704.927148222101
SWE,189,8399.8652136138
NED,190,10673.7549712482
SWE,190,7609.4082378779
NED,191,9616.8776393355
SWE,191,6586.2278885751
NED,192,8722.1405154991
SWE,192,5627.24709060118
NED,193,7883.757000567401
SWE,193,5007.320173082449
NED,194,7337.0281282121
SWE,194,4671.275646595759
NED,195,7018.679670891301
SWE,195,4556.92019579134
NED,196,6873.346679505799
SWE,196,4626.135337067701
NED,197,6919.813690356899
SWE,197,4847.82441274996
NED,198,7337.0281282121
SWE,198,5684.424816003389
NED,199,8644.0363908769
SWE,199,7614.4238278255
NED,200,10757.791054702499
SWE,200,9512.3230639831
NED,201,12018.594035138125
SWE,201,9465.42678806486
NED,202,9219.407687695075
SWE,202,34.353561719779464
NED,203,5794.661412091148
NED,204,1788.1179683835726
NED,206,369.71113101929586
SWE,206,1005.874354379861
NED,207,8179.134098533651
SWE,207,8930.513950187778
NED,208,11937.785659721849
SWE,208,9984.7916370435
NED,209,12673.8137574592
SWE,209,10319.8330455407
NED,210,13140.4611855816
SWE,210,10386.0388328485
NED,211,12513.6508689935
SWE,211,9947.6762714316
NED,212,11861.135397466402
SWE,212,9154.2099417272
NED,213,11031.6498207828
SWE,213,8200.2447337008
NED,214,10125.0487792823
SWE,214,7406.778403996401
NED,215,9244.1528927208
SWE,215,6620.3339002186
NED,216,8542.2044309265
SWE,216,5883.042177926871
NED,217,7821.4714328307
SWE,217,5337.34599163207
NED,218,7131.386888700499
SWE,218,5030.39188684124
NED,219,6734.934306757599
SWE,219,4829.76828893874
NED,220,6506.553891723101
SWE,220,4783.62486142116
NED,221,6428.449767100899
SWE,221,4885.94289635144
NED,222,6497.6559534749995
SWE,222,5127.69433182395
NED,223,6954.416783544
SWE,223,5655.334394307531
NED,224,7834.324010300201
SWE,224,6320.401621354329
NED,225,8988.0900031367
SWE,225,7129.9178388909
NED,226,6114.2889677314
SWE,226,6576.697247857621
SWE,227,5306.246614444819
SWE,228,5905.6099531175805
SWE,229,5546.99493192782
SWE,230,5790.251384323579
NED,231,481.778382219647
SWE,231,7878.74507812294
NED,232,8093.731117287125
SWE,232,8544.3142041036
NED,233,10325.7467197671
SWE,233,8931.5177480554
NED,234,11345.054979076798
SWE,234,9000.7328893317
NED,235,11075.1508522179
SWE,235,8630.5823512016
NED,236,10572.9116711031
SWE,236,8062.8175691376
NED,237,9924.3508387975
SWE,237,7415.806465902
NED,238,9208.5611397284
SWE,238,6787.8546044672
NED,239,8589.660101583
SWE,239,6138.8372652525595
NED,240,7956.9178261628
SWE,240,5497.8448699540695
NED,241,7344.937406654901
SWE,241,4902.99590217315
NED,242,6785.355956830101
SWE,242,4589.01997145573
NED,243,6407.687911188699
SWE,243,4399.43067143787
NED,244,6196.114712845099
SWE,244,4377.3620756686
NED,245,6147.6703823831995
SWE,245,4450.58968890301
NED,246,6205.0126510932005
SWE,246,4631.15092701526
NED,247,6432.404406322299
SWE,247,5044.43553869441
NED,248,6949.473484517201
SWE,248,5574.08183715702
NED,249,1757.6434435670244
SWE,249,5614.456826326321
SWE,250,3493.110508461861
SWE,251,2265.7939485980605
SWE,252,529.3946691175997
SWE,253,915.8460445467808
SWE,254,4635.410949049679
SWE,255,7867.71078023834
NED,256,6985.705204118449
SWE,256,8719.8598522682
NED,257,9709.8116610378
SWE,257,9493.2638221824
NED,258,10871.486932316999
SWE,258,9744.0433195605
NED,259,10805.246725359
SWE,259,9697.8998920429
NED,260,10532.376619084
SWE,260,9366.8709555038
NED,261,9963.8972310112
SWE,261,8938.539573982
NED,262,9231.3003152513
SWE,262,8351.7155501172
NED,263,8570.8755652815
SWE,263,7558.249220412799
NED,264,7716.673493464201
SWE,264,6923.275533051299
NED,265,7076.0219396013
SWE,265,6513.000275340701
NED,266,6653.8642027194
SWE,266,6255.198952036009
NED,267,6334.527085593199
SWE,267,6156.893389063791
NED,268,6343.425023841301
SWE,268,6294.320553627
NED,269,6485.7920358109
SWE,269,6587.2310065647
NED,270,7004.8384336165
SWE,270,7472.9841913042
NED,271,8403.7920581783
SWE,271,9545.425957637
NED,272,10640.1405378665
SWE,272,11550.6588186725
NED,273,12093.4704517223
SWE,273,11811.21854647892
NED,274,9500.652274974225
SWE,274,10025.66716539038
NED,275,8942.844670820698
SWE,275,7367.652723136781
NED,276,8583.49595891935
SWE,276,6319.142794751179
NED,277,5608.79336868645
SWE,277,7427.338583451839
NED,278,3760.116042058051
SWE,278,9542.916462968
NED,279,6665.350717294824
SWE,279,11075.93306016622
NED,280,11522.083338915902
SWE,280,11449.3439017318
NED,281,12728.1900467532
SWE,281,11527.5871049138
NED,282,13426.183869326
SWE,282,11388.1537043715
NED,283,12696.5529329821
SWE,283,10866.532349825
NED,284,12173.551895955101
SWE,284,10211.4963026733
NED,285,11426.125083115101
SWE,285,9445.1141586858
NED,286,10488.8755876489
SWE,286,8507.1988384916
NED,287,9464.6240293125
SWE,287,7437.8750616713005
NED,288,8513.5332965715
SWE,288,6321.4047393438395
NED,289,7725.5714317123
SWE,289,5681.41546203486
NED,290,7166.9786416929
SWE,290,5386.498773118181
NED,291,6828.856988265299
SWE,291,5149.76292759323
NED,292,6814.0270911851
SWE,292,5298.2243900410795
NED,293,6901.029154055401
SWE,293,5517.90722974432
NED,294,7318.243591910599
SWE,294,6264.2270139416305
NED,295,8699.4013399762
SWE,295,8065.8269231061
NED,296,10834.9065195193
SWE,296,9908.5546698406
NED,297,11746.97431729045
SWE,297,9239.2233414907
NED,298,7919.640026972
SWE,298,36.35979769887854
NED,299,2105.942968460422
NED,300,1505.6229926770975
NED,302,2435.8936148234006
SWE,302,6665.220540767341
NED,303,4738.830994666146
SWE,303,9575.268547855521
NED,304,9745.578178077598
SWE,304,10142.281161397
NED,305,12744.997263443998
SWE,305,10446.2259122193
NED,306,13492.4240762841
SWE,306,10704.027235524
NED,307,12843.863243978401
SWE,307,10223.5337185475
NED,308,12339.646743252899
SWE,308,9628.6847507666
NED,309,11559.594156836501
SWE,309,8878.3524946112
NED,310,10670.7889918322
SWE,310,8062.8175691376
NED,311,9589.1951647858
SWE,311,7010.546798138899
NED,312,8665.7869065945
SWE,312,6012.444398573991
NED,313,7823.4487524414
SWE,313,5363.42705935939
NED,314,7298.470395803701
SWE,314,5036.41059477831
NED,315,7079.9765788227
SWE,315,4856.8524746555795
NED,316,6979.1332786776
SWE,316,5037.41371276783
NED,317,7052.294104273
SWE,317,5290.19944612498
NED,318,7465.5539029068
SWE,318,6074.637713923759
NED,319,8820.0178362282
SWE,319,8191.2166717952
NED,320,11049.445697279
SWE,320,10104.1626777955
NED,321,11360.204859461424
SWE,321,8543.55999594662
NED,322,648.513196126296
SWE,326,951.9562525349211
SWE,327,7571.537984230901
NED,328,1582.2150002500475
SWE,328,10729.1051852618
NED,329,12520.5714876309
SWE,329,11195.5550503851
NED,330,13467.707581150498
SWE,330,11477.4312054381
NED,331,12929.8766470433
SWE,331,11013.9906942834
NED,332,12442.467363008702
SWE,332,10528.4815873593
NED,333,11643.630240290699
SWE,333,9499.2825301195
NED,334,10728.131260542199
SWE,334,8593.4669855897
NED,335,9661.3673305759
SWE,335,7694.6732669865
NED,336,8721.1518556938
SWE,336,6621.3370182081
NED,337,7858.051845628401
SWE,337,5962.28849909836
NED,338,7289.5724575556
SWE,338,5716.5245916677995
NED,339,7002.8611140058
SWE,339,5549.0038874192105
NED,340,6910.9157521088
SWE,340,5557.028831335299
NED,341,6965.292041402699
SWE,341,5838.904986388319
NED,342,7426.0075106931
SWE,342,6708.6082832957
NED,343,8758.7209282968
SWE,343,8645.6291210443
NED,344,10879.396210759802
SWE,344,10609.7341445098
NED,345,10805.828437285349
SWE,345,10538.01086832064
NED,346,3955.6089548942236
SWE,346,6831.73744714832
SWE,347,3433.421248756299
SWE,348,2424.0329219616997
NED,349,20.249017171347077
SWE,349,4065.6372114941987
NED,350,3504.3148810958737
SWE,350,8150.83896311346
NED,351,6488.642340760249
SWE,351,10206.98193178144
NED,352,10533.743516876224
SWE,352,11023.018756189
NED,353,12836.942625340998
SWE,353,11212.6080562068
NED,354,13420.251910494
SWE,354,11166.4646286893
NED,355,12866.602419501301
SWE,355,10579.6406048244
NED,356,12412.807568848399
SWE,356,9896.5172539664
NED,357,11601.117868660898
SWE,357,9024.80772108
NED,358,10609.4920839009
SWE,358,8051.7832712529
NED,359,9636.6508354423
SWE,359,6934.309830935999
NED,360,8761.6869077129
SWE,360,5838.904986388319
NED,361,7886.7229799834
SWE,361,5041.42618472588
NED,362,7357.7899841243
SWE,362,4633.15716299429
NED,363,7037.464207192899
SWE,363,4595.03867939281
NED,364,6928.711628605
SWE,364,4568.95761166549
NED,365,6979.1332786776
SWE,365,4789.643569358241
NED,366,7388.438438089999
SWE,366,5650.318804359969
NED,367,8633.1611330181
SWE,367,7570.286636286901
NED,368,10817.110643023101
SWE,368,9309.6932301016
