location,time_step,loss_of_load
NED,127,6888.217833991401
NED,128,9188.829201027002
NED,129,10588.771485394202
NED,130,10919.972520184401
NED,131,10925.904479016499
NED,132,10812.2086014019
NED,133,10595.692104031601
NED,134,10630.295197218598
NED,135,10673.7962286537
NED,136,10729.161177753002
NED,137,11080.135408650101
NED,138,11875.0178921468
NED,139,11098.9199449517
NED,140,10614.476640333101
NED,141,9787.9570430655
NED,142,8873.4467231223
NED,143,7830.4106284843
NED,144,6840.762163334901
NED,145,6034.0157621742
NED,146,5497.1734878724
NED,147,5240.1219384829
NED,148,5157.074514833999
NED,149,5210.462144322601
NED,150,5648.438438089999
NED,151,6957.424020365501
NED,152,9137.4188911491
NED,153,10547.2477735697
NED,154,10794.412724905698
NED,155,10776.6168484095
NED,156,10632.2725168293
NED,157,10325.7879771726
NED,158,10424.653957707102
NED,159,10483.9735460277
NED,160,10504.735401939899
NED,161,10877.4601485546
NED,162,11761.322014532201
NED,163,10979.292108505098
NED,164,10515.610659798702
NED,165,9756.3199292945
NED,166,8904.0951770879
NED,167,7818.546710820199
NED,168,6964.3446390029
NED,169,6146.7229799834
NED,170,5569.3456536625
NED,171,5259.8951345898
NED,172,5147.1879167806
NED,173,5160.040494250001
NED,174,5598.016788017399
NED,175,6853.6147408044
NED,176,9036.575591003999
NED,177,10491.882824470398
NED,178,10904.1539632989
NED,179,11001.042624222599
NED,180,11199.763245096801
NED,181,11205.6952039288
NED,182,11282.8106687457
NED,183,11096.942625340998
NED,184,11165.160151909698
NED,185,11334.220978623602
NED,186,11792.959128303199
NED,187,11220.525101009
NED,188,10720.2632395049
NED,189,9964.927148222101
NED,190,8933.7549712482
NED,191,7876.8776393355
NED,192,6982.140515499101
NED,193,6143.757000567401
NED,194,5597.0281282121
NED,195,5278.679670891301
NED,196,5133.346679505799
NED,197,5179.813690356899
NED,198,5597.0281282121
NED,199,6904.0363908768995
NED,200,9017.791054702499
NED,201,10514.6219999934
NED,202,11019.8271605242
NED,203,11135.500357749399
NED,204,11141.4323165815
NED,205,10936.779736875302
NED,206,10903.165303493599
NED,207,10687.637465928601
NED,208,10669.841589432399
NED,209,10933.8137574592
NED,210,11400.4611855816
NED,211,10773.6508689935
NED,212,10121.135397466402
NED,213,9291.6498207828
NED,214,8385.0487792823
NED,215,7504.1528927208
NED,216,6802.2044309265
NED,217,6081.4714328307
NED,218,5391.386888700499
NED,219,4994.934306757599
NED,220,4766.553891723101
NED,221,4688.449767100899
NED,222,4757.6559534749995
NED,223,5214.416783544
NED,224,6094.324010300201
NED,225,7248.0900031367
NED,226,8150.736405415801
NED,227,8690.5446591336
NED,228,8857.6281662367
NED,229,8849.718887794
NED,230,8762.7168249237
NED,231,8654.9529061412
NED,232,8477.9828009846
NED,233,8585.7467197671
NED,234,9605.054979076798
NED,235,9335.1508522179
NED,236,8832.9116711031
NED,237,8184.3508387975
NED,238,7468.561139728399
NED,239,6849.660101583
NED,240,6216.9178261628
NED,241,5604.937406654901
NED,242,5045.355956830101
NED,243,4667.687911188699
NED,244,4456.114712845099
NED,245,4407.6703823831995
NED,246,4465.0126510932005
NED,247,4692.404406322299
NED,248,5209.473484517201
NED,249,5918.3425649489
NED,250,6617.3250473272
NED,251,7278.738457102299
NED,252,7533.8126868811
NED,253,7738.4652665873
NED,254,7693.9755753468
NED,255,7651.4632037169995
NED,256,7605.984852671199
NED,257,7969.8116610378
NED,258,9131.486932316999
NED,259,9065.246725359
NED,260,8792.376619084
NED,261,8223.8972310112
NED,262,7491.300315251299
NED,263,6830.8755652815
NED,264,5976.673493464201
NED,265,5336.0219396013
NED,266,4913.8642027194
NED,267,4594.527085593199
NED,268,4603.425023841301
NED,269,4745.7920358109
NED,270,5264.8384336165
NED,271,6663.7920581783
NED,272,8900.1405378665
NED,273,10353.4704517223
NED,274,10829.015818092801
NED,275,10979.292108505098
NED,276,11091.9993263143
NED,277,10949.6323143447
NED,278,10989.178706558501
NED,279,10826.0498386767
NED,280,10726.195198337002
NED,281,10988.1900467532
NED,282,11686.183869326
NED,283,10956.5529329821
NED,284,10433.551895955101
NED,285,9686.125083115101
NED,286,8748.8755876489
NED,287,7724.624029312499
NED,288,6773.533296571501
NED,289,5985.5714317123
NED,290,5426.9786416929
NED,291,5088.856988265299
NED,292,5074.0270911851
NED,293,5161.029154055401
NED,294,5578.243591910599
NED,295,6959.401339976201
NED,296,9094.9065195193
NED,297,10479.030247001
NED,298,10900.199324077501
NED,299,10987.2013869478
NED,300,11094.9653057303
NED,301,10996.0993251959
NED,302,11081.124068455501
NED,303,11023.781799745499
NED,304,10837.913756340899
NED,305,11004.997263443998
NED,306,11752.4240762841
NED,307,11103.863243978401
NED,308,10599.646743252899
NED,309,9819.594156836501
NED,310,8930.7889918322
NED,311,7849.1951647858
NED,312,6925.7869065945
NED,313,6083.4487524414
NED,314,5558.470395803701
NED,315,5339.9765788227
NED,316,5239.1332786776
NED,317,5312.294104273
NED,318,5725.5539029068
NED,319,7080.0178362282
NED,320,9309.445697279
NED,321,10800.3446837378
NED,322,11181.967368600599
NED,323,11252.16221478
NED,324,11264.026132444102
NED,325,11173.069430352502
NED,326,11074.203449818098
NED,327,10863.618911279798
NED,328,10699.501383592698
NED,329,10780.5714876309
NED,330,11727.707581150498
NED,331,11189.8766470433
NED,332,10702.467363008702
NED,333,9903.630240290699
NED,334,8988.131260542199
NED,335,7921.3673305759
NED,336,6981.151855693801
NED,337,6118.051845628401
NED,338,5549.5724575556
NED,339,5262.8611140058
NED,340,5170.9157521088
NED,341,5225.292041402699
NED,342,5686.0075106931
NED,343,7018.7209282968
NED,344,9139.396210759802
NED,345,10481.996226416999
NED,346,10948.643654539399
NED,347,11060.3622125433
NED,348,11208.661183344899
NED,349,11025.7591193562
NED,350,10969.405510451601
NED,351,10885.3694269974
NED,352,10917.9952005737
NED,353,11096.942625340998
NED,354,11680.251910494
NED,355,11126.602419501301
NED,356,10672.807568848399
NED,357,9861.117868660898
NED,358,8869.4920839009
NED,359,7896.6508354423
NED,360,7021.6869077128995
NED,361,6146.7229799834
NED,362,5617.7899841243
NED,363,5297.464207192899
NED,364,5188.711628605
NED,365,5239.1332786776
NED,366,5648.438438089999
NED,367,6893.1611330181
NED,368,9077.110643023101
NED,369,10460.2457106994
NED,370,10790.458085684299
NED,371,10848.7890141996
NED,372,10791.446745489699
NED,373,10565.043650065902
NED,374,10410.8127204322
NED,375,10167.602408317602
NED,376,10083.566324863401
NED,377,10246.695192745101
NED,378,11167.1374715204
NED,379,10749.9230336652
NED,380,10149.8065318214
NED,381,9386.5611620958
NED,382,8503.6879559236
NED,383,7574.3477389002
NED,384,6815.057008395999
NED,385,6039.9477210062
NED,386,5464.547714296001
NED,387,5083.9136892384995
NED,388,4917.8188419408
NED,389,4922.762140967499
NED,390,5077.9817304065
NED,391,5578.243591910599
NED,392,6463.094117693499
NED,393,7431.9807269306
NED,394,8262.4549634196
NED,395,8632.2137306183
NED,396,8561.0302246335
NED,397,8335.6157890151
NED,398,8058.7910435188005
NED,399,7946.0838257095
NED,400,8022.210630721
NED,401,8331.6611497937
NED,402,9435.005492557699
NED,403,9430.0621935309
NED,404,8969.3467242406
NED,405,8342.5364076525
NED,406,7598.0755742284
NED,407,6989.0611341365
NED,408,6315.7838066972
NED,409,5679.0868920557
NED,410,5134.335339311099
NED,411,4763.587912307101
NED,412,4579.697188513101
NED,413,4520.3776001924
NED,414,4566.8446110436
NED,415,4908.9209036927
NED,416,5377.5456514257
NED,417,6101.2446289376
NED,418,6788.3631936516995
NED,419,7394.4116543275995
NED,420,7886.764237388899
NED,421,8160.6230034692
NED,422,8097.348775927199
NED,423,7996.5054757821
NED,424,7939.163207072101
NED,425,8114.155992618
NED,426,9265.9446658438
NED,427,9354.9240483248
NED,428,9010.870436065099
NED,429,8457.2209450724
NED,430,7689.0322763201
NED,431,6973.242577251
NED,432,6068.618855361199
NED,433,5440.819878967701
NED,434,5112.584823593499
NED,435,4910.8982233033
NED,436,4858.499253620101
NED,437,5004.820904811
NED,438,5511.014725147201
NED,439,6834.8302045027995
NED,440,9022.7343537292
NED,441,10343.583853668799
NED,442,10709.387981646101
NED,443,10853.7323132264
NED,444,10995.110665390599
NED,445,10853.7323132264
NED,446,10970.394170257001
NED,447,10903.165303493599
NED,448,10784.526126852299
NED,449,10908.1086025203
NED,450,11671.353972245899
NED,451,11191.853966653998
NED,452,10719.274579699599
NED,453,9899.6756010694
NED,454,8975.2786830727
NED,455,7920.3786707706
NED,456,6994.0044331632
NED,457,6122.0064848498005
NED,458,5694.905448941199
NED,459,5401.273486754
NED,460,5303.396166024901
NED,461,5339.9765788227
NED,462,5728.5198823229
NED,463,7054.312681289201
NED,464,9194.7611598591
NED,465,10564.0549902606
NED,466,10986.212727142502
NED,467,11085.078707676901
NED,468,11116.715821447899
NED,469,10858.6756122531
NED,470,10819.1292200393
NED,471,10737.070456195801
NED,472,10668.852929626999
NED,473,10872.5168495279
NED,474,11662.456033997802
NED,475,11212.615822566298
NED,476,10724.2178787263
NED,477,9984.700344329001
NED,478,9066.235385164298
NED,479,7967.8343414271
NED,480,6924.7982467892
NED,481,6179.3487535597
NED,482,5683.041531277
NED,483,5403.2508063647
NED,484,5314.2714238837
NED,485,5364.6930739562995
NED,486,5701.8260675786005
NED,487,7076.063197006801
NED,488,9358.8786875462
NED,489,10713.342620867501
NED,490,11060.3622125433
NED,491,11173.069430352502
NED,492,11170.103450936502
NED,493,10969.405510451601
NED,494,10948.643654539399
NED,495,10876.4714887493
NED,496,10740.0364356118
NED,497,10912.0632417417
NED,498,11761.322014532201
GER,499,149.78283384464157
NED,499,11309.50448349
NED,500,10834.9477769248
NED,501,10007.439519851901
NED,502,9049.4281684735
NED,503,8042.9724866333
NED,504,7134.3941255221
NED,505,6336.5456626094
NED,506,5774.986893174
NED,507,5492.2301888456
NED,508,5414.126064223499
NED,509,5486.298230013599
NED,510,5879.784832540499
NED,511,7200.6343324801
NED,512,9428.0848739203
NED,513,10799.3560239324
NED,514,11231.400358867799
NED,515,11386.619948306801
GER,516,414.831655928283
NED,516,11401.449845387
NED,517,11170.103450936502
NED,518,11218.547781398302
NED,519,11071.237470402
NED,520,10999.0653046119
NED,521,11038.611696825701
BEL,522,122.96512228836036
NED,522,11697.059127184799
GER,523,196.09123847009323
NED,523,11312.470462906
NED,524,10855.7096328371
NED,525,10081.5890052527
NED,526,9010.870436065099
NED,527,7960.913722789701
NED,528,7134.3941255221
NED,529,6312.8178272812
NED,530,5860.011636433601
NED,531,5552.538436971599
NED,532,5471.4683329334
NED,533,5529.799261448699
NED,534,5962.8322561894
NED,535,7242.1580443046005
NED,536,9370.7426052103
NED,537,10758.820971913301
NED,538,11266.0034520548
NED,539,11345.096236482299
NED,540,11293.6859266045
NED,541,11141.4323165815
NED,542,11143.409636192198
NED,543,11079.1467488448
NED,544,10911.0745819363
NED,545,10918.9838603791
NED,546,11585.340569181
NED,547,11167.1374715204
NED,548,10568.009629481901
NED,549,9749.3993106571
NED,550,8796.3312583054
NED,551,7847.217845175101
NED,552,7119.564228441899
NED,553,6400.808549956801
NED,554,5798.7147285023
NED,555,5409.1827651967
NED,556,5251.985856146999
NED,557,5151.1425560019
NED,558,5295.486887582199
NED,559,5745.327099013701
NED,560,6542.1869021210005
NED,561,7608.950832087199
NED,562,8562.0188844389
NED,563,8981.2106419048
NED,564,8920.9023937788
NED,565,8696.4766179657
NED,566,8380.1054802556
NED,567,8140.8498073622995
NED,568,8070.6549611829
NED,569,8272.3415614731
NED,570,9275.8312638973
NED,571,9555.621988809598
NED,572,9078.099302828501
NED,573,8468.0962029312
NED,574,7720.6693900911
NED,575,7050.358042067801
NED,576,6362.2508175484
NED,577,5680.075551861
NED,578,5114.562143204201
NED,579,4804.1229643261995
NED,580,4691.415746516999
NED,581,4612.3229620894
NED,582,4701.3023445704
NED,583,4977.138430261401
NED,584,5418.080703444801
NED,585,6027.095143536801
NED,586,6815.057008395999
NED,587,7383.5363964688
NED,588,7788.8869166598
NED,589,7973.7663002592
NED,590,7864.025061865999
NED,591,7665.3044409918
NED,592,7604.9961928657995
NED,593,7809.6487725721
NED,594,8920.9023937788
NED,595,9194.7611598591
NED,596,8865.5374446795
NED,597,8330.6724899884
NED,598,7614.8827909193005
NED,599,6907.991030098299
NED,600,6014.2425660673
NED,601,5362.7157543456
NED,602,4988.0136881202
NED,603,4764.576572112401
NED,604,4709.2116230132
NED,605,4824.8848202384
NED,606,5380.5116308418
NED,607,6758.7033994914
NED,608,8994.063219374199
NED,609,10460.2457106994
NED,610,10914.0405613523
NED,611,10916.017880963002
GER,612,139.9898533857977
NED,612,11048.4982948791
NED,613,11027.736438966898
NED,614,11052.4529341005
NED,615,10805.287982764501
NED,616,10622.3859187759
NED,617,10765.7415905507
NED,618,11389.585927722801
NED,619,11046.5209752685
NED,620,10494.8488038865
NED,621,9722.7054959128
NED,622,8821.047753439
NED,623,7710.7827920377
NED,624,6747.828141632601
NED,625,6033.0271023688
NED,626,5521.889983006
NED,627,5262.8611140058
NED,628,5191.677608021
NED,629,5223.3147217921
NED,630,5676.120912639601
NED,631,7028.607526350301
NED,632,9296.593119809499
NED,633,10395.9828233521
NED,634,10704.4446826194
NED,635,10733.115816974401
NED,636,10703.456022814102
NED,637,10429.5972567338
NED,638,10461.2343705048
NED,639,10471.1209685582
NED,640,10445.4158136193
NED,641,10491.882824470398
NED,642,11194.8199460701
NED,643,10999.0653046119
NED,644,10493.8601440811
NED,645,9750.387970462401
NED,646,8783.4786808359
NED,647,7679.145678266699
NED,648,6781.4425750143
NED,649,5940.0930806665
NED,650,5411.1600848073995
NED,651,5122.471421647
NED,652,5028.5487401393
NED,653,5082.9250294332
NED,654,5502.1167868991
NED,655,6898.1044320449
NED,656,9104.7931175728
NED,657,10508.690041161299
NED,658,10934.8024172646
NED,659,11068.271490986
NED,660,11154.284894051001
NED,661,11110.7838626158
NED,662,11294.674586409801
NED,663,11407.381804219
NED,664,11344.107576677
NED,665,11458.792114096901
NED,666,11771.2086125856
NED,667,11270.946751081501
NED,668,10680.716847291202
NED,669,9892.754982432001
NED,670,8965.3920850192
NED,671,7940.151866877501
NED,672,6961.3786595869005
NED,673,6117.063185823101
NED,674,5512.003384952501
NED,675,5171.9044119142
NED,676,5087.868328459899
NED,677,5131.3693598950995
NED,678,5645.472458673999
NED,679,6986.0951547205
NED,680,9278.7972433133
NED,681,10500.7807627185
NED,682,10976.326129089
NED,683,11083.1013880662
NED,684,11096.942625340998
NED,685,10899.2106642722
NED,686,10873.505509333201
NED,687,10840.879735756898
NED,688,10844.834374978302
NED,689,11021.804480134899
NED,690,11593.249847623701
NED,691,11295.6632462151
NED,692,10844.834374978302
NED,693,10122.124057271802
NED,694,9123.577653874301
NED,695,8089.4394974844
NED,696,7204.5889717015
NED,697,6421.570405869001
NED,698,5916.3652453382
NED,699,5557.481735998301
NED,700,5434.8879201356995
NED,701,5466.525033906701
NED,702,5844.1930795481
NED,703,7113.6322696099
NED,704,9182.8972421949
NED,705,10469.143648947502
NED,706,10982.258087921098
NED,707,11029.7137585776
NED,708,10912.0632417417
NED,709,10582.8395265621
NED,710,10567.0209696766
NED,711,10489.905504859798
NED,712,10428.6085969284
NED,713,10517.5879794094
NED,714,11128.579739112
NED,715,10898.2220044668
NED,716,10350.504472306198
NED,717,9543.758071145501
NED,718,8599.587957042
NED,719,7740.442586198
NED,720,7065.187939148
NED,721,6272.2827752621
NED,722,5610.8693654869
NED,723,5237.1559590669
NED,724,5016.684822475199
NED,725,4973.183791040001
NED,726,5072.0497715744
NED,727,5522.8786428113
NED,728,6439.366282365199
NED,729,7394.4116543275995
NED,730,8354.4003253166
NED,731,8717.2384738779
NED,732,8659.8962051679
NED,733,8480.9487804007
NED,734,8258.5003241983
NED,735,8233.7838290647
NED,736,8138.8724877516
NED,737,8364.2869233701
NED,738,9150.271468618601
NED,739,9519.0415760119
NED,740,9056.3487871109
NED,741,8419.6518724693
NED,742,7679.145678266699
NED,743,7086.9384548656
NED,744,6365.2167969644
NED,745,5679.7886231991
NED,746,5183.4939314243
NED,747,4832.5285617429
NED,748,4673.358351831101
NED,749,4599.210738518101
NED,750,4626.892514155001
NED,751,4860.2103373798
NED,752,5289.2778597508
NED,753,5980.3336158277
NED,754,6642.7189614235995
NED,755,7246.7748512132
NED,756,7566.1039058811
NED,757,7684.740087181801
NED,758,7631.3538055965
NED,759,7558.1948271277
NED,760,7381.2291900207
NED,761,7526.558512114199
NED,762,8550.7842106773
NED,763,9184.4991457922
NED,764,8885.931422852
NED,765,8334.2731798035
NED,766,7579.9447936995
NED,767,6921.513987480301
NED,768,6010.9812959971005
NED,769,5424.7208334025
NED,770,5069.800924344399
NED,771,4923.4829674068005
NED,772,4882.9489387957
NED,773,4955.119282420401
NED,774,5463.277592325299
NED,775,6866.150436206601
NED,776,9075.7493129332
NED,777,10247.281603278101
NED,778,10710.9513451952
NED,779,10880.007903548802
NED,780,10924.496471536499
NED,781,10656.5764287657
NED,782,10623.951478907999
NED,783,10465.7699038403
NED,784,10472.6903477495
NED,785,10571.5538321668
NED,786,11103.439378331801
NED,787,11108.382552552699
NED,788,10675.360490805
NED,789,9913.1230259476
NED,790,8952.1699574115
NED,791,7887.410230237299
NED,792,6860.218627141599
NED,793,6070.299386647401
NED,794,5587.845582690999
NED,795,5361.448203375399
NED,796,5299.1642081926
NED,797,5258.6301795815
NED,798,5711.4249382127
NED,799,7004.559314390901
NED,800,9230.9649834683
NED,801,10420.2927010083
NED,802,10833.5420658726
NED,803,10774.2239752223
NED,804,10576.4970063877
NED,805,10250.2475078106
NED,806,10242.3384290572
NED,807,10116.781803847301
NED,808,10185.986242939402
NED,809,10430.1790494501
NED,810,10965.0305001476
NED,811,11276.423002335965
NED,812,10640.7582712589
NED,813,9863.691283739001
NED,814,8956.1244967882
NED,815,7910.1488316533
NED,816,6898.775386064401
NED,817,6099.9584319726
NED,818,5677.8113535108005
NED,819,5400.004962298201
NED,820,5304.1073824134
NED,821,5383.1981699473
NED,822,5792.492995434801
NED,823,7078.706927703801
NED,824,9328.839833041398
NED,825,10489.4971401004
NED,826,10895.8260610555
NED,827,10856.2806672886
NED,828,10681.292299870001
NED,829,10467.747173528602
NED,830,10413.372257099101
NED,831,10427.213144917601
NED,832,10456.872190242699
NED,833,10590.337894206099
NED,834,11047.087192214
NED,835,11902.560761173776
NED,836,10739.621755676199
NED,837,9979.361560507201
NED,838,9066.851599335601
NED,839,8043.6145356166
NED,840,7114.2977820941
NED,841,6280.8786084563
NED,842,5844.890642176
NED,843,5574.993329716801
NED,844,5468.220766546099
NED,845,5505.788890624701
NED,846,5813.2543271625
NED,847,7120.229591159101
NED,848,9348.6125299249
NED,849,10445.0085721127
NED,850,10900.769235276399
NED,851,11081.689411759999
NED,852,11015.450877200401
NED,853,10673.3832211166
NED,854,10623.951478907999
NED,855,10640.7582712589
NED,856,10667.4514120516
NED,857,10699.0877270651
NED,858,11099.4848389551
NED,859,11943.457308726505
NED,860,10982.8259273427
NED,861,10205.758939822801
NED,862,9141.987847492699
NED,863,8027.796378109801
NED,864,7150.8772713285
NED,865,6334.264890041601
NED,866,5822.15204076
NED,867,5473.163940767001
NED,868,5407.914041051599
NED,869,5466.2434968578
NED,870,5853.7883557736
NED,871,7168.6726985236
NED,872,9319.942119443898
NED,873,10443.0313024243
NED,874,10946.246438108301
NED,875,10865.178380886198
NED,876,10674.371855960799
NED,877,10308.5769636168
